base_repository_url,cat4_instances,share_of_all_cat4
https://github.com/nokia/openwrt,1531,0.0893
https://github.com/intel/Theano,1155,0.0674
https://github.com/Accenture/liferay-plugins,1078,0.0629
https://github.com/KFERMercer/OpenWrt,916,0.0534
https://github.com/intel/asynch_mode_nginx,874,0.051
https://github.com/voidtools/voidImageViewer,642,0.0374
https://github.com/apache/xalan-j,530,0.0309
https://github.com/mozilla/openvpn,443,0.0258
https://github.com/microsoft/DTrace-on-Windows,371,0.0216
https://github.com/microsoft/BioModelAnalyzer,345,0.0201
