organization_name,cohort,friction_rate,n_rel
HP,Corporate,0.017628205128205128,624
ChinaMobile,Corporate,0.13592233009708737,103
DeutscheTelekom,Corporate,0.19038565996740903,3682
SAP,Corporate,0.3057644110275689,798
veraPDF,OSS Foundation,0.3549382716049383,1296
Uber,Corporate,0.3611111111111111,792
Oracle,Corporate,0.3683888926607373,14729
The Fintech Open Source Foundation,OSS Foundation,0.3793103448275862,290
NTT,Corporate,0.3867924528301887,106
OpenStack,OSS Foundation,0.4018144018144018,5291
Software Heritage,OSS Foundation,0.4444444444444444,36
Xiaomi,Corporate,0.45508100147275404,1358
Sony,Corporate,0.48496530454895914,1297
Apache,OSS Foundation,0.4928573350192354,74342
Nokia,Corporate,0.5023863124718595,22210
Intel,Corporate,0.5590161957963268,74649
Microsoft,Corporate,0.5594255127457735,94345
IBM,Corporate,0.5862304798814545,17546
Academy Software Foundation,OSS Foundation,0.6199460916442049,1484
Salesforce,Corporate,0.6580626861438094,7051
Meta,Corporate,0.6752533268221218,8191
Huawei,Corporate,0.7047244094488189,508
OurResearch,OSS Foundation,0.7071823204419889,181
GNOME,OSS Foundation,0.730384476316741,8297
Apple,Corporate,0.7462945443077893,6342
Lenovo,Corporate,0.762063227953411,601
Google,Corporate,0.7653173295677415,25494
Samsung,Corporate,0.7677663130358959,6881
Open Knowledge Foundation,OSS Foundation,0.8020304568527918,591
Broadcom,Corporate,0.8043856595892795,5746
Nvidia,Corporate,0.8267241681567967,28521
OpenWallet Foundation,OSS Foundation,0.8484848484848485,33
Mozilla,OSS Foundation,0.8663285872179962,30762
SoftBank,Corporate,0.8674121405750799,626
Wikimedia,OSS Foundation,0.8860635696821516,8180
ATT,Corporate,0.8967267191068257,7882
Dell,Corporate,0.912568306010929,1281
KDE,OSS Foundation,0.9164648910411622,10738
OSU Open Source Lab,OSS Foundation,0.9188741721854304,5436
Comcast,Corporate,0.9416740872662511,2246
Accenture,Corporate,0.9649585531273549,2654
Farama Foundation,OSS Foundation,0.968798751950078,19230
Stanford University,OSS Foundation,0.9716981132075472,106
Cisco,Corporate,0.9734826163818503,3394
Tencent,Corporate,0.9735237572095579,18205
Cloud Native Computing Foundation,OSS Foundation,0.9815041005060199,5731
Orange,Corporate,0.9874909790714458,29099
LG,Corporate,0.9950657894736842,608
Berkeley,OSS Foundation,0.9974201954397394,38375
Verizon,Corporate,0.9980732177263969,519
Open Source Geospatial Foundation,OSS Foundation,0.9990979252280244,9977
MIT,OSS Foundation,1.0,9537
